[2023-11-22 08:55:50,136] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x127a43090>
[2023-11-22 08:55:54,125] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:55:54,341] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:55:54,347] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:55:54,348] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x127abb990>
[2023-11-22 08:55:55,062] DEBUG in streamlit_oauth: CallbackHandler: Session State: {}
[2023-11-22 08:55:55,062] WARNING in streamlit_oauth: CallbackHandler: 'consent' not in session state
[2023-11-22 08:55:55,112] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:55:55,124] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:55:55,361] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:55:55,364] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:55:55,364] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x127b0bf10>
[2023-11-22 08:55:55,364] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:55:55,406] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:55:55,407] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x12795fad0>
